label,dt_exact,kappa_x,nproc,nx,solvetime,error
790fe1803b92,0.001,0.0004,16.0,800.0,25988.640583,8.33825429832e-05
5752d2f9be2c,0.00316330565441,0.0004,16.0,800.0,8956.77028298,8.2884360472e-05
135d0c021b26,0.01,0.0004,16.0,800.0,3259.53794003,8.20862659324e-05
821c532ca029,0.031746031746,0.0004,16.0,800.0,1383.24196196,8.74197367914e-05
8dce749eea67,0.1,0.0004,16.0,800.0,710.200149059,0.000154369144527
b8d04d91916c,0.32,0.0004,16.0,800.0,455.733281851,0.000472782940761
17bbb2c5c612,1.0,0.0004,16.0,800.0,114.167025089,0.00160153889685
75f57769ef6d,2.0,0.0004,16.0,800.0,99.9249038696,0.00356629883864
436a7975f6c6,4.0,0.0004,16.0,800.0,81.6924600601,0.00891290926593
10e177d2cb2f,8.0,0.0004,16.0,800.0,50.8556571007,0.0271355582299
